Gene	log2FC	pvalue	FDR	direction	Symbol
A_19_P00327297	0.2556428571428566	0.2094177682752634	0.5936529307844496	Not Sig	XLOC_008015
A_19_P00327320	0.1744285714285705	0.3687948539134264	0.717952084884494	Not Sig	XLOC_006725
A_19_P00327354	0.0877857142857152	0.1523253058029469	0.5275931521706824	Not Sig	XLOC_l2_015037
A_19_P00327406	-0.1136428571428571	0.7154325715974151	0.9009210153615532	Not Sig	XLOC_007052
A_19_P00327415	0.0693571428571422	0.6916668064675827	0.8907345449790756	Not Sig	XLOC_005798
A_19_P00327772	-0.1864999999999987	0.0154982418032815	0.1795979389158629	Not Sig	XLOC_l2_000864
A_19_P00328053	-0.0256428571428575	0.7147880080425125	0.9007510389758308	Not Sig	XLOC_010669
A_19_P00328190	-0.0943571428571434	0.2235427930703185	0.6084117478364048	Not Sig	FLJ39653
A_19_P00328247	0.0867142857142848	0.4008718117659056	0.7354186365041234	Not Sig	LOC401320
A_19_P00328579	0.6237142857142857	0.0212017028769617	0.2089782004887302	Up	LOC285401
A_19_P00328832	0.2238571428571418	0.2802869748172887	0.6579493652292456	Not Sig	LOC284837
A_19_P00328886	-0.2400714285714285	0.001072471507962	0.0491931185340625	Not Sig	TUG1
A_19_P00328996	0.1781428571428573	0.0142534872569063	0.1717568936380846	Not Sig	XLOC_l2_015037
A_19_P00329048	0.0689285714285716	0.7189235257883113	0.9019936760518408	Not Sig	XLOC_l2_014585
A_19_P00329086	-0.0020714285714298	0.9751881795890982	0.993900064655444	Not Sig	XLOC_005832
A_19_P00329511	0.2469999999999994	0.2048152759171701	0.5887112235314462	Not Sig	XIST
A_19_P00329564	-0.1371428571428579	0.1003550876957096	0.4462662301273332	Not Sig	LOC100499177
A_19_P00329711	0.0899999999999998	0.1416341446212841	0.5143993802823752	Not Sig	MAVS
A_19_P00329806	-0.2370714285714275	0.286864439445871	0.6634594445170469	Not Sig	HOTAIR
A_19_P00330048	-0.1445714285714281	0.3729633304578015	0.7196718372646292	Not Sig	XLOC_009628
A_19_P00330076	-0.2101428571428574	0.0009644360096394	0.0468653022785755	Not Sig	XLOC_014102
A_19_P00330464	-0.2973571428571437	0.4340635112053964	0.7548531519689539	Not Sig	HOTAIR
A_19_P00330507	0.0662857142857147	0.6603287361420577	0.8761339651270428	Not Sig	XLOC_000294
A_19_P00330549	0.1960714285714289	0.095541619165911	0.4374682341842868	Not Sig	LOC100132356
A_19_P00330814	-0.169714285714285	0.6931986781667228	0.8916705923065524	Not Sig	HOTAIR
A_19_P00331618	-0.0830714285714293	0.3697531886052252	0.7186694501682969	Not Sig	LOC100507645
A_19_P00331623	0.3579999999999996	0.1243056700208308	0.4881674131812913	Not Sig	XIST
A_19_P00331839	-0.0420714285714289	0.6047224714146195	0.8488687048893993	Not Sig	LOC100132356
A_19_P00331853	-0.0379285714285719	0.7446964412847505	0.9131139972612192	Not Sig	LOC100131564
A_19_P00332515	-0.1251428571428583	0.1219934086762817	0.4847170339147718	Not Sig	TSIX
A_19_P00800006	0.099857142857143	0.0560472682652243	0.3441952862578902	Not Sig	Q59GX9
A_19_P00800111	-0.2751428571428578	0.2681704241714641	0.6479854616555006	Not Sig	C10orf112
A_19_P00800114	-0.0820714285714281	0.2378998132178878	0.6217339152661439	Not Sig	HIGD1A
A_19_P00800166	0.3157857142857132	0.0134995679053336	0.1675725202414953	Up	LOC375295
A_19_P00800195	-0.1257857142857128	0.1992214467036801	0.5828411789010978	Not Sig	EEF1DP3
A_19_P00800206	0.2127857142857188	0.3194510642523452	0.6870243047725472	Not Sig	LOC400958
A_19_P00800229	0.0669285714285718	0.489228013632901	0.7858393511752989	Not Sig	XLOC_011950
A_19_P00800264	-0.1072142857142868	0.538471714725509	0.8130656592216223	Not Sig	LOC100506365
A_19_P00800283	-0.1283571428571424	0.1887628929034852	0.5708956737693843	Not Sig	XLOC_009387
