Gene	log2FC	pvalue	FDR	direction
A_24_P822704	-0.11764285714285805	0.20491605605162605	0.58871164969101	Not Sig
A_24_P822931	-0.013428571428571123	0.8771558777468291	0.9625829024974026	Not Sig
A_24_P823684	0.02578571428571408	0.6495817947599544	0.8713232289181128	Not Sig
A_24_P82419	0.0285714285714338	0.6232335487703068	0.8585687015428244	Not Sig
A_24_P824592	-0.1418571428571429	0.3852912777278708	0.7262424853696544	Not Sig
A_24_P82466	0.10157142857142887	0.22705687498576715	0.6118957619452138	Not Sig
A_24_P82493	-0.07871428571428751	0.2906200386204314	0.6665533268802301	Not Sig
A_24_P825874	0.11714285714285677	0.6797055858253978	0.8849854712997637	Not Sig
A_24_P82630	0.0015714285714278908	0.9908568049047012	0.9978063867074304	Not Sig
A_24_P826348	0.2334285714285711	0.002959374359612017	0.08094439863368368	Not Sig
A_24_P827	0.11192857142857093	0.554990726102269	0.8229267238789979	Not Sig
A_24_P827037	-0.8011428571428549	0.02258639458982586	0.21615299036936256	Down
A_24_P82749	0.30621428571428666	0.05371399836348771	0.33831074674495437	Not Sig
A_24_P827491	-0.04235714285714298	0.8658389558506067	0.9593158804241524	Not Sig
A_24_P82880	-0.18857142857143216	0.07463191937336798	0.39282118735717825	Not Sig
A_24_P829183	0.29521428571428476	0.05552954999740632	0.3430177767648889	Not Sig
A_24_P82957	0.07664285714285768	0.14479509661323609	0.5180832955629118	Not Sig
A_24_P830667	0.0051428571428608905	0.9095027031223265	0.9740817309123578	Not Sig
A_24_P830690	-0.008357142857142286	0.857185625717581	0.9564480344372708	Not Sig
A_24_P83075	-0.16657142857142926	0.04926181107423055	0.32350062991517226	Not Sig
A_24_P831309	-0.10807142857142615	0.2624005574262486	0.6425793920884832	Not Sig
A_24_P8318	-0.09164285714285647	0.09513038034377465	0.43659043122991703	Not Sig
A_24_P83183	0.018785714285714405	0.6386503011037068	0.8655502662928808	Not Sig
A_24_P832156	-0.09628571428571675	0.00389657656447508	0.09001361984711373	Not Sig
A_24_P832426	0.10885714285714165	0.7517665094801972	0.9162269186746237	Not Sig
A_24_P83272	-0.03149999999999986	0.9109528552038578	0.9748490015053973	Not Sig
A_24_P833129	-0.12364285714285739	0.37997561662394796	0.7230993195416047	Not Sig
A_24_P833256	0.42728571428571405	0.06038554309380509	0.35590212189323184	Not Sig
A_24_P83379	0.0910714285714267	0.12319802821619692	0.4866013943692593	Not Sig
A_24_P83437	0.1469285714285702	0.047655395045774214	0.31797991093993544	Not Sig
A_24_P83455	-0.4194999999999993	0.05771540671850281	0.34799055529455253	Not Sig
A_24_P83544	-0.2402857142857142	0.09309615102876352	0.43196852719864703	Not Sig
A_24_P835500	0.015714285714285126	0.7960685815622095	0.9340929113527804	Not Sig
A_24_P83586	0.017285714285715237	0.8849124578719588	0.9651653788964638	Not Sig
