dataset	N	pert_id	pert_iname	score	is_target
GSE90594	100	BRD-A18411371	BRD-A18411371	3.80538095238095	0
GSE90594	100	BRD-K16782389	BRD-K16782389	1.200928571428571	0
GSE90594	100	BRD-K98143437	SB-239063	2.775035714285715	0
GSE90594	100	BRD-K75264577	BRD-K75264577	4.678714285714289	0
GSE90594	100	BRD-K50985433	BRD-K50985433	6.380595238095242	0
GSE90594	100	BRD-K27881911	BRD-K27881911	4.104511904761902	0
GSE90594	100	BRD-K53523901	arctigenin	1.9935571428571457	0
GSE90594	100	BRD-K46862739	metyrapone	4.4701212121212155	0
GSE90594	100	BRD-K80451230	zamifenacin	1.717357142857148	0
GSE90594	100	BRD-K21387011	BRD-K21387011	2.180166666666667	0
GSE90594	100	BRD-K37940862	BRD-K37940862	3.5020000000000007	0
GSE90594	100	BRD-K68202742	trichostatin-a	1.6434999999999957	0
GSE90594	100	BRD-A67605442	tetrahydrobiopterin	3.5638214285714325	0
GSE90594	100	BRD-A15493168	tetracycline	3.180892857142859	0
GSE90594	100	BRD-K85383046	IAA-94	1.857732142857143	0
GSE90594	100	BRD-A43640821	BRD-A43640821	2.5177738095238116	0
GSE90594	100	BRD-K89020690	BRD-K89020690	1.5052857142857166	0
GSE90594	100	BRD-A73741725	exemestane	5.88853571428571	0
GSE90594	100	BRD-K14788918	BRD-K14788918	1.9576428571428548	0
GSE90594	100	BRD-K54314721	zolmitriptan	5.834107142857142	0
GSE90594	100	BRD-K05979026	BRD-K05979026	2.02760714285714	0
GSE90594	100	BRD-K03319035	maprotiline	3.4238809523809435	0
GSE90594	100	BRD-K44931544	BRD-K44931544	2.368374999999999	0
GSE90594	100	BRD-K95033227	BRD-K95033227	2.9305357142857122	0
GSE90594	100	BRD-A93236127	digitoxin	0.8852857142857147	0
GSE90594	100	BRD-K19166598	BRD-K19166598	3.0275416666666697	0
GSE90594	100	BRD-K25050358	BRD-K25050358	1.4097678571428562	0
GSE90594	100	BRD-K32610195	androstenedione	5.0673071428571435	0
GSE90594	100	BRD-A62434282	goserelin	2.537892857142853	0
GSE90594	100	BRD-K82747512	BRD-K82747512	2.808428571428576	0
