Gene	log2FC	pvalue	FDR	direction	Symbol
200072_s_at	0.0324579577655228	0.8724743202356811	0.9990466365428996	Not Sig	HNRNPM
200073_s_at	0.1382655992329198	0.4580252136563028	0.9990466365428996	Not Sig	HNRNPD
200074_s_at	0.0914357283717528	0.3159689505148969	0.9990466365428996	Not Sig	RPL14
200075_s_at	-0.1143629319586825	0.7954846744035264	0.9990466365428996	Not Sig	GUK1
200076_s_at	0.0230564315710832	0.8374497493524214	0.9990466365428996	Not Sig	KXD1
200077_s_at	-0.0562839558023906	0.6522442658241814	0.9990466365428996	Not Sig	OAZ1
200078_s_at	0.0394849004411153	0.9289904162528676	0.9990466365428996	Not Sig	ATP6V0B
200079_s_at	0.1609795476915927	0.547583262961401	0.9990466365428996	Not Sig	KARS
200080_s_at	0.0348725563846166	0.8277595290393586	0.9990466365428996	Not Sig	H3F3A
200081_s_at	-0.079460485713426	0.4036588181630807	0.9990466365428996	Not Sig	RPS6
200082_s_at	0.1429595482490686	0.3060364450372753	0.9990466365428996	Not Sig	RPS7
200083_at	0.0139876865625918	0.9101519288680554	0.9990466365428996	Not Sig	USP22
200084_at	-0.0796015488659591	0.779313873678057	0.9990466365428996	Not Sig	C11orf58
200085_s_at	0.0221422986348258	0.8738623542513425	0.9990466365428996	Not Sig	TCEB2
200086_s_at	0.2410817067251986	0.1110293314197352	0.8637874876077597	Not Sig	COX4I1
200087_s_at	0.2936735756214297	0.2503997346774568	0.9990466365428996	Not Sig	TMED2
200088_x_at	0.0748401015927502	0.539403520777599	0.9990466365428996	Not Sig	NBEAL1
200089_s_at	0.1353659498770181	0.299432710399212	0.9990466365428996	Not Sig	RPL4
200090_at	0.072174838004873	0.5416165327792981	0.9990466365428996	Not Sig	FNTA
200091_s_at	0.0021017393494222	0.9882682522326244	0.9995477718534194	Not Sig	RPS25
200092_s_at	0.1101777506046257	0.2402501071926927	0.9978235149813872	Not Sig	RPL37
200093_s_at	0.0440264688785418	0.6333193004087844	0.9990466365428996	Not Sig	HINT1
200094_s_at	0.1826678808886264	0.3811595669247006	0.9990466365428996	Not Sig	EEF2
200095_x_at	0.0030463627209691	0.977648930236579	0.9990466365428996	Not Sig	RPS10
200096_s_at	-0.0802871099916355	0.7992081514906759	0.9990466365428996	Not Sig	ATP6V0E1
200097_s_at	0.1494964534727625	0.1107673103902696	0.8637874876077597	Not Sig	HNRNPK
200098_s_at	-0.021402659618614	0.8872492662599126	0.9990466365428996	Not Sig	ANAPC5
200099_s_at	0.0825379126158161	0.3921336188841812	0.9990466365428996	Not Sig	RPS3A
200593_s_at	0.0355856131061109	0.8536801545217878	0.9990466365428996	Not Sig	HNRNPU
200594_x_at	0.0264617498120305	0.8774390807822833	0.9990466365428996	Not Sig	HNRNPU
200595_s_at	0.1071410672324297	0.6028428946727864	0.9990466365428996	Not Sig	EIF3A
200596_s_at	-0.070371781529495	0.769401132299001	0.9990466365428996	Not Sig	EIF3A
200597_at	0.2838359158239711	0.0433097215627514	0.6639266069301892	Not Sig	EIF3A
200598_s_at	-0.1631818538284264	0.658307845027469	0.9990466365428996	Not Sig	HSP90B1
200599_s_at	-0.0465574646645237	0.6900838085505345	0.9990466365428996	Not Sig	HSP90B1
200600_at	0.1994271173886197	0.4321738608771918	0.9990466365428996	Not Sig	MSN
200601_at	-0.3277274039676854	0.1129617799175336	0.8664880867241666	Not Sig	ACTN4
200602_at	0.2478853106010667	0.415465508248067	0.9990466365428996	Not Sig	APP
200603_at	0.2888320259856769	0.2064741616777836	0.9809632690637178	Not Sig	PRKAR1A
200604_s_at	-0.2703523858930872	0.4970222374461058	0.9990466365428996	Not Sig	PRKAR1A
200605_s_at	0.2851711422296503	0.3395240006444319	0.9990466365428996	Not Sig	PRKAR1A
200606_at	-0.1562067319310909	0.4394390103516214	0.9990466365428996	Not Sig	DSP
200607_s_at	-0.3547252306669382	0.3463915583274639	0.9990466365428996	Not Sig	RAD21
200608_s_at	0.0841174726238058	0.7302658830386483	0.9990466365428996	Not Sig	RAD21
200609_s_at	-0.0957958596352757	0.3508345198446992	0.9990466365428996	Not Sig	WDR1
200610_s_at	0.124325338486404	0.544785173136708	0.9990466365428996	Not Sig	NCL
200611_s_at	-0.2041709461399392	0.439930857137985	0.9990466365428996	Not Sig	WDR1
200612_s_at	0.3949471326368865	0.2959555675871317	0.9990466365428996	Not Sig	AP2B1
200613_at	0.0219882668215056	0.9479075313262671	0.9990466365428996	Not Sig	AP2M1
200614_at	0.0690794799605338	0.1939645516426195	0.9695513634619634	Not Sig	CLTC
200615_s_at	0.2838219111952256	0.0198301202479141	0.4894364621034415	Not Sig	AP2B1
200616_s_at	-0.0833529122197234	0.8061044199910136	0.9990466365428996	Not Sig	MLEC
200617_at	0.1407544095940709	0.6487995490408688	0.9990466365428996	Not Sig	MLEC
200618_at	0.2811584054807419	0.2651387928797492	0.9990466365428996	Not Sig	LASP1
200619_at	-0.0469047383722376	0.6505783406208344	0.9990466365428996	Not Sig	SF3B2
200620_at	0.0891034832396009	0.7313710653894337	0.9990466365428996	Not Sig	TMEM59
200621_at	-0.1454610229548567	0.3626939200788464	0.9990466365428996	Not Sig	CSRP1
200622_x_at	-0.1274517055893813	0.4093280022954948	0.9990466365428996	Not Sig	CALM1
200623_s_at	0.0048550268142619	0.9697319908493168	0.9990466365428996	Not Sig	CALM1
200624_s_at	0.1045944639404563	0.6139069735336526	0.9990466365428996	Not Sig	MATR3
200625_s_at	-0.3652870761780598	0.0027546060900458	0.1843855437761063	Down	CAP1
200626_s_at	0.0853233765915177	0.6911286283730733	0.9990466365428996	Not Sig	MATR3
200627_at	0.1691107347451659	0.314481581981516	0.9990466365428996	Not Sig	PTGES3
200629_at	0.459181706080721	0.0996487747877801	0.8421268350804367	Not Sig	WARS
200630_x_at	0.016882387543637	0.9733152201954886	0.9990466365428996	Not Sig	SET
200631_s_at	0.053797196963794	0.4663731619593265	0.9990466365428996	Not Sig	SET
200632_s_at	-0.1813086440684799	0.039468279227894	0.6350623692306511	Not Sig	NDRG1
200633_at	-0.0533287490322287	0.4536873015744201	0.9990466365428996	Not Sig	UBB
200634_at	0.1177618281319734	0.4589900731798568	0.9990466365428996	Not Sig	PFN1
200635_s_at	-0.5577638948692147	0.199152693804154	0.9770054198970972	Not Sig	PTPRF
