Gene	log2FC	pvalue	FDR	direction
200691_s_at	0.27938550591786004	0.18061398112634774	0.9591951864105522	Not Sig
200692_s_at	0.25309685147783156	0.19739229419655396	0.9736344449471229	Not Sig
200693_at	-0.6289301210921376	0.005228731764571828	0.2591059519769412	Down
200694_s_at	0.2422248902815225	0.24267893407969957	0.9987115227890421	Not Sig
200695_at	-0.1838349133449233	0.6329331049423167	0.9990466365428997	Not Sig
200696_s_at	-0.17934669249801694	0.16683200818868993	0.9462803912397866	Not Sig
200697_at	0.14918197735647176	0.4334334425409139	0.9990466365428997	Not Sig
200698_at	0.13378373862171067	0.4284252174026348	0.9990466365428997	Not Sig
200699_at	0.31639484686461916	0.30012944795495033	0.9990466365428997	Not Sig
200700_s_at	0.038819642463368	0.8368024371839206	0.9990466365428997	Not Sig
200701_at	-0.0008333855499138565	0.9959137184359814	0.9995477718534194	Not Sig
200702_s_at	-0.002859498179316411	0.9918720359548445	0.9995477718534194	Not Sig
200703_at	-0.1727255069323661	0.2575100356318852	0.9990466365428997	Not Sig
200704_at	0.07514522199533147	0.4276663934310265	0.9990466365428997	Not Sig
200705_s_at	0.007762463408418796	0.9074559909178209	0.9990466365428997	Not Sig
200706_s_at	0.14493559521415023	0.5971632955816282	0.9990466365428997	Not Sig
200707_at	-0.2986545654833819	0.6060743128177809	0.9990466365428997	Not Sig
200708_at	0.28786452887819447	0.2297917542106535	0.9952193691000017	Not Sig
200709_at	-0.1898666178334505	0.008091530373163618	0.3305118716322583	Not Sig
200710_at	-0.23846117925086574	0.4307761754369606	0.9990466365428997	Not Sig
200711_s_at	-0.0030761944830199894	0.9571966267206402	0.9990466365428997	Not Sig
200712_s_at	-0.19539407145899457	0.5957675618486562	0.9990466365428997	Not Sig
200713_s_at	0.06647256362891873	0.7028620744715787	0.9990466365428997	Not Sig
200714_x_at	0.25530750263644464	0.022905525394023043	0.5167577156062648	Not Sig
200715_x_at	0.07629923033789687	0.5099565486397	0.9990466365428997	Not Sig
200716_x_at	0.005388465054684488	0.9632080452001995	0.9990466365428997	Not Sig
200717_x_at	0.025749544281069348	0.7952309836181395	0.9990466365428997	Not Sig
200718_s_at	0.06134460616099702	0.5937158443053673	0.9990466365428997	Not Sig
200719_at	0.36366870601720436	0.2642637361270544	0.9990466365428997	Not Sig
200720_s_at	-0.14052229282974338	0.4988338652464768	0.9990466365428997	Not Sig
200721_s_at	0.07321869905371159	0.8040067388956395	0.9990466365428997	Not Sig
200722_s_at	-0.10521435339273477	0.6815756190756236	0.9990466365428997	Not Sig
200723_s_at	0.10913422768362047	0.4385417909012462	0.9990466365428997	Not Sig
200725_x_at	-0.03650070535700678	0.7940341289915642	0.9990466365428997	Not Sig
200726_at	0.11828496652953469	0.2818384973307677	0.9990466365428997	Not Sig
200727_s_at	-0.2484341764411102	0.6229228511009354	0.9990466365428997	Not Sig
200728_at	0.13574070156465368	0.49679881872737175	0.9990466365428997	Not Sig
200729_s_at	0.07396948076123522	0.6238266326633217	0.9990466365428997	Not Sig
200730_s_at	-0.9939942570701215	0.013859948556866048	0.41305231305252316	Down
200731_s_at	-0.5685199085530117	0.012134459123354714	0.3891499929172516	Down
200732_s_at	-0.23124335976896138	0.08251648150913136	0.7944075422396419	Not Sig
200733_s_at	-0.5394812963989253	0.04538124391869185	0.6761850249839256	Down
200734_s_at	0.03530524026520698	0.8773307792793588	0.9990466365428997	Not Sig
200735_x_at	0.15061502370401492	0.18339482354800735	0.9611835597441567	Not Sig
200736_s_at	0.17108550081443763	0.5138312590843237	0.9990466365428997	Not Sig
200737_at	0.10528742728932272	0.5360368772160146	0.9990466365428997	Not Sig
200738_s_at	0.06547587945608768	0.617465527548895	0.9990466365428997	Not Sig
200739_s_at	-0.15752503915944693	0.5531206144946793	0.9990466365428997	Not Sig
200740_s_at	0.2663896863975417	0.35356377697039915	0.9990466365428997	Not Sig
200741_s_at	0.0340031672064125	0.6964308877348576	0.9990466365428997	Not Sig
200742_s_at	0.05040388513858396	0.8423203656729763	0.9990466365428997	Not Sig
200743_s_at	0.28988378186935293	0.08813902346182442	0.8104173703683908	Not Sig
200744_s_at	-0.3510489101215555	0.32864819001445467	0.9990466365428997	Not Sig
200745_s_at	-0.1254939180671233	0.5907978393146898	0.9990466365428997	Not Sig
200746_s_at	-0.02868654057396469	0.873869663263753	0.9990466365428997	Not Sig
200747_s_at	-0.24682845232636197	0.3448223707716537	0.9990466365428997	Not Sig
200748_s_at	0.019744801065971984	0.9071291974313767	0.9990466365428997	Not Sig
200749_at	0.21842238743219777	0.42580733294857026	0.9990466365428997	Not Sig
200750_s_at	-0.11874462425284271	0.601625244073091	0.9990466365428997	Not Sig
200751_s_at	-0.2178208100473853	0.5668596922483264	0.9990466365428997	Not Sig
200752_s_at	-0.150617391644154	0.7404273484421832	0.9990466365428997	Not Sig
200753_x_at	-0.026157382556495357	0.7990710913014739	0.9990466365428997	Not Sig
200754_x_at	0.030993335320703252	0.8069451454718145	0.9990466365428997	Not Sig
200755_s_at	0.04263989846439831	0.8797186920068666	0.9990466365428997	Not Sig
200757_s_at	0.04338297125099544	0.8077820991476645	0.9990466365428997	Not Sig
200758_s_at	-0.08176889622541772	0.6441616998197662	0.9990466365428997	Not Sig
200759_x_at	-0.0998098506049665	0.28146985388054296	0.9990466365428997	Not Sig
200760_s_at	0.11755673766955255	0.7118345137728048	0.9990466365428997	Not Sig
200761_s_at	0.06655603177826919	0.6325136966072799	0.9990466365428997	Not Sig
200762_at	0.341367031333494	0.16207904868509432	0.9456380706180122	Not Sig
200763_s_at	-0.014721765729429848	0.8666098846831185	0.9990466365428997	Not Sig
200764_s_at	-0.0011777344648979948	0.9920002183876157	0.9995477718534194	Not Sig
200765_x_at	0.002483182263020467	0.9839370415491057	0.999511572300808	Not Sig
200766_at	-0.14489314078455084	0.7727787848775765	0.9990466365428997	Not Sig
200767_s_at	-0.30277211483013655	0.2223812253328742	0.9913616385358781	Not Sig
200768_s_at	0.09055549744902969	0.6142771713177255	0.9990466365428997	Not Sig
200769_s_at	-0.15901131868071872	0.7821910365183558	0.9990466365428997	Not Sig
200770_s_at	0.4973690688236392	0.03411012879595242	0.600230313299297	Up
200771_at	0.3534844774631578	0.050729319362164106	0.6913640346348654	Not Sig
200772_x_at	-0.08827067906833186	0.6675676575278886	0.9990466365428997	Not Sig
200773_x_at	0.1361802667935592	0.13017408518919305	0.9061146656989908	Not Sig
200774_at	0.18602241874643255	0.47929429952366415	0.9990466365428997	Not Sig
200775_s_at	0.045429536349015365	0.8032766530456673	0.9990466365428997	Not Sig
200776_s_at	0.16896221530426558	0.5444520860823957	0.9990466365428997	Not Sig
200777_s_at	0.10200959487537808	0.5696362939889508	0.9990466365428997	Not Sig
200778_s_at	-0.09369844943969063	0.7473305618825107	0.9990466365428997	Not Sig
