ID_REF	GSM1627296	GSM1627297	GSM1627298	GSM1627299	GSM1627300	GSM1627301
ILMN_1651966	6.238465759	6.196980695	6.121535137	5.910443104	5.834076584	5.934480529
ILMN_1651967	6.302148648	6.184359261	6.507345362	6.497143545	6.460963566	6.342943698
ILMN_1651980	6.132554191	6.243454492	5.913099499	6.354212483	6.128191509	6.043412933
ILMN_1651984	5.437387402	5.638918862	6.044157449	7.523109517	7.032110415	7.819415317
ILMN_1651987	8.087454967	8.1125323	8.147930138	7.458804007	7.471588127	7.191165457
ILMN_1652000	6.455608904	6.260268492	6.669732097	5.999057385	6.222209126	6.157062425
ILMN_1652003	9.185371919	9.30569242	9.388441652	9.394820406	9.122276318	9.393349747
ILMN_1652006	6.058974818	6.129759174	6.237581279	5.905634109	5.984166997	5.775460852
ILMN_1652008	8.142098234	8.120954087	8.217087384	7.323082666	7.422756593	7.374517126
ILMN_1652015	5.859987541	5.858915843	5.766713523	5.851169098	5.87398487	5.842411795
ILMN_1652017	5.158523121	5.09875841	5.347493962	5.62718357	5.461041138	5.39293079
ILMN_1652022	5.32293377	5.676381376	5.741739826	5.795279366	5.68747269	5.695570411
ILMN_1652023	5.780837577	5.729359646	5.984802341	5.910443104	5.910654955	5.883429056
ILMN_1652024	9.179076256	9.103447846	9.434441669	8.773352806	8.909159268	9.388441652
ILMN_1652037	5.704387136	5.990232437	5.766713523	5.657833831	5.881330549	5.675876457
ILMN_1652056	5.808505195	5.528708075	5.556911448	5.59777277	5.738676977	5.43040143
ILMN_1652065	8.0785428	8.17077105	8.073920381	7.6957702	7.863750146	7.766704869
ILMN_1652066	5.870987467	5.883923366	5.932345859	5.891606884	5.899854077	6.051864502
ILMN_1652072	7.256849126	7.337713893	7.352101672	8.453399562	8.511977978	8.45509335
ILMN_1652073	12.99039276	12.84830633	12.87029746	12.87612764	12.89285592	13.06630044
ILMN_1652079	5.81639926	5.288630693	5.47282565	5.739453431	5.606515611	5.977235416
ILMN_1652081	5.791714706	5.96102722	5.820600986	5.744439345	5.583510848	6.032695357
ILMN_1652082	8.747489649	8.604512703	8.832985251	8.875242103	8.968544928	8.849852543
ILMN_1652085	9.563371921	9.71210973	9.826703398	9.582829029	9.723939735	9.570296896
ILMN_1652088	5.808505195	5.763832845	5.790271308	5.555802798	5.803960615	5.777499852
ILMN_1652098	5.772413551	5.863870992	5.696705137	5.792927864	5.745979289	5.467564618
ILMN_1652104	5.569025408	5.473631151	5.647843607	5.399119515	5.684921505	5.525572744
ILMN_1652110	5.358080054	5.528708075	5.509013421	5.722080152	5.516301876	5.977235416
ILMN_1652113	5.698590331	5.447455305	5.83097375	5.992499599	5.931642143	5.979103102
ILMN_1652123	10.92548441	10.82925783	10.95442513	10.56625348	10.51380165	10.69105866
ILMN_1652128	11.05152781	11.028864	11.04095735	11.7111153	11.79706238	11.88947342
ILMN_1652132	5.602764768	5.614341221	5.878990061	5.833729685	5.89752721	5.620932401
ILMN_1652137	5.421918572	5.488871467	5.283819874	5.657833831	5.401163003	5.673171746
ILMN_1652144	5.901276267	6.055226026	5.6910789	5.780717363	5.794198112	5.867394346
ILMN_1652147	6.225176109	5.997928586	6.347158427	6.292870964	6.018255268	5.921158314
ILMN_1652151	6.98870904	7.357982558	6.904169232	7.036794953	6.9232573	7.021548845
ILMN_1652155	5.727288453	5.667419759	5.358555408	5.685063293	5.554685252	5.723999566
ILMN_1652160	7.740811883	7.844409387	7.970229085	7.813588692	7.791021319	7.880971045
ILMN_1652161	6.356207145	6.111010392	6.095373028	6.11675996	6.059117093	6.081586494
ILMN_1652163	7.536018247	7.485759623	7.662225054	8.120954087	8.024803315	7.923572705
ILMN_1652164	5.998331473	5.985317048	6.022695645	5.821278122	5.95950127	6.010283226
ILMN_1652166	5.870987467	5.820600986	5.62452694	5.838659114	5.876324135	5.601292663
ILMN_1652170	5.677815461	5.756114598	5.551187505	5.369191374	5.542670189	5.744204635
ILMN_1652171	5.690029309	5.644698841	5.609480019	5.73479125	5.637217426	5.568278261
ILMN_1652175	5.953800958	5.707510832	5.792927864	5.792927864	5.709132094	5.78832495
ILMN_1652178	5.455530343	5.844696905	5.905634109	5.795279366	5.912625608	5.746649552
ILMN_1652181	5.582541951	5.57501512	5.560107174	5.725048886	5.594923858	5.943653091
ILMN_1652185	9.540404764	9.520428154	9.533176694	8.960447964	8.93020621	9.016100513
ILMN_1652188	5.966100225	5.826371184	5.858741257	5.757819983	5.712018212	5.811293156
ILMN_1652196	5.318839843	5.609342685	5.597632198	5.679581876	5.546032571	5.35919579
ILMN_1652198	5.437387402	5.600439921	5.266732293	5.210176068	5.546032571	5.584190613
ILMN_1652199	6.147219052	6.246142784	6.177881088	6.399253033	6.274590501	6.143978748
